distance,size,num_of_rooms,floor,price
7014,74,3,5,169000
2462,83,3,5,270000
6660,70,3,4,179000
3230,61,3,1,210000
4553,105,4,7,305000
2973,63,2,2,204000
1658,152,4,6,564888
1658,111,4,16,463888
1658,105,4,9,446888
1658,171,4,8,738888
1658,117,4,4,448888
1658,125,4,6,455888
1658,124,4,7,541888
1658,122,4,8,470888
3796,69,3,6,230000
2783,75,3,7,210000
4272,86,3,1,220000
4759,98,3,1,220000
3200,67,3,1,187600
2402,150,3,7,900000
3230,101,3,7,303000
3230,104,3,7,312000
2783,75,3,3,190000
6073,73,3,6,225000
3511,86,3,6,235000
6073,95,3,4,340000
347,101,3,3,388850
672,100,3,1,330000
3200,77,3,2,220000
3974,84,3,10,175000
2174,83,3,2,350000
4593,78,3,0,179000
5302,96,3,14,217000
1658,76,3,8,199000
3062,91,3,6,250000
3230,80,3,4,300000
2976,100,3,0,169900
3511,61,3,3,176900
4181,35,2,1,150000
2801,65,2,6,199800
3062,44,2,3,160773
6660,75,2,4,184000
3796,56,2,7,167000
3511,60,2,6,169900
1658,72,3,9,432000
2976,63,3,2,224700
3974,68,3,1,194000
3796,69,3,8,189000
3230,65,3,3,256000
1661,190,3,1,500000
2402,76,3,2,306000
4272,68,3,6,180000
2462,62,3,1,220000
2462,90,3,1,360000
5980,93,3,6,250000
2783,70,3,9,175000
1658,73,3,1,400000
2174,70,3,1,240000
4462,89,3,4,205000
1658,92,3,6,386400
4181,80,3,1,165000
1658,82,3,2,399999
5302,87,3,7,220000
3230,83,3,5,270000
7199,67,3,7,169000
1658,153,3,18,958888
2402,83,3,4,235000
1658,81,3,1,353888
1658,86,3,3,314888
1658,77,2,1,268888
1658,141,3,1,602888
1658,89,3,3,331888
1658,88,3,24,787888
1540,115,4,1,299000
1540,86,4,4,330000
1540,111,5,5,515000
1540,111,5,5,515000
3230,100,4,2,185000
2402,118,4,4,465000
1540,95,4,1,280000
3763,99,4,2,185000
347,105,4,4,375000
1540,105,4,4,375000
2402,90,4,2,295000
347,102,4,4,270000
1540,80,4,2,245000
347,110,4,4,200000
3763,74,4,2,185000
2402,66,2,1,235000
672,52,2,2,234000
1658,83,3,3,324888
3796,74,3,7,210000
3473,84,3,13,239000
6660,81,3,9,230000
4688,56,2,30,299900
3230,66,2,1,235000
4688,54,2,2,235000
1658,57,2,5,192000
1658,55,2,16,272000
4071,71,2,10,228000
8751,64,2,4,115000
5302,70,2,0,190000
4544,129,4,6,440000
3381,182,5,2,550000
1658,215,5,8,693888
1658,157,5,11,704888
3230,65,3,2,215358
4688,70,2,2,228800
1658,72,3,4,270888
2462,56,3,6,195000
1658,69,3,7,404000
2402,74,3,0,236800
5678,74,3,2,185000
2402,54,3,5,225000
3230,55,2,1,175000
1540,73,3,3,250000
5302,82,4,1,199500
4462,73,2,2,185000
3974,61,3,0,170000
3796,56,2,7,167000
4544,71,2,9,295000
3200,65,2,6,199800
7524,75,2,4,179000
4688,75,2,6,232650
2801,88,3,6,289000
2174,66,3,0,236520
2174,66,3,1,236520
2174,78,3,7,280060
1540,62,2,0,179500
2973,76,3,11,198000
3230,170,6,7,612000
3381,156,4,1,295000
2462,86,4,3,320000
2402,95,4,4,280000
1540,120,4,1,480000
1540,120,4,1,480000
1540,120,4,1,480000
1540,120,4,1,480000
672,104,4,1,270000
3230,95,4,1,250000
4593,57,3,1,174000
6554,71,3,4,163000
2174,220,6,6,420000
2503,119,4,7,290000
4168,78,3,8,165000
4593,57,3,1,174000
3511,39,1,2,112000
1540,35,1,3,153000
2402,47,1,5,150000
4181,45,2,1,125000
3230,47,1,5,150000
2402,65,2,0,273000
8751,61,3,2,137000
3091,69,3,2,131100
1540,47,1,5,150000
8751,69,3,1,131000
4181,38,2,6,125000
7014,48,2,13,109900
1658,93,3,1,347888
1658,114,3,13,704888
1658,94,3,1,355888
1658,87,3,25,793888
1658,79,3,1,336888
1658,89,3,3,303888
1658,81,3,1,353888
1658,115,3,8,393888
3381,125,3,4,450000
4084,74,3,3,180000
4071,100,3,8,320000
5678,76,3,4,218000
2503,86,3,5,292400
5678,76,3,4,218000
1658,82,3,2,355000
7524,49,2,1,119000
3381,58,2,1,140000
6073,30,1,1,102000
6660,66,2,13,145000
5174,56,3,0,105000
1658,89,3,4,305888
8751,69,3,1,131000
4181,67,3,2,160000
2462,61,2,1,235000
2402,54,2,3,290000
347,52,2,2,234000
3230,53,2,6,165000
